
System Name,System ID,Level,Warp Range,Warp Range (Superhighway),Faction ID
Azha,849541812,20,13,13,-1
Azmodel,1613820820,28,30,30,1306860549
Azuras,1904679047,33,45,45,-1
B'Moth,1790682461,39,50,185,4153667145
B'Oh,1589741937,42,70,105,4153667145
Ba'Neth,2081490431,32,25,25,-1
Babel,727040510,38,47,47,2064723306
Babishta,692177966,23,17,17,-1
Bachmann,1043638527,40,0,0,-1
Badgerya,2124977332,61,900,900,669838839
Baelos,274040896,50,185,185,2064723306
Bairbre,808177918,54,285,285,2064723306
Bajor,308829943,20,25,25,-1
Balduk,1003010771,39,61,56,4153667145
Baley,903939622,52,210,210,-1
Ballion,1844514955,46,120,120,669838839
Balrosh,1369709043,29,22,22,-1
Banks,71005,1,1,1,-1
Barasa Alpha,539879784,40,20,20,-1
Barasa Beta,1850739058,40,20,20,-1
Barasa Gamma,861313265,40,20,20,-1
Barklay,454578778,31,26,26,2064723306
Barnard's Star,306360997,38,40,40,2064723306
Barra,71714,1,3,3,-1
Barret - Solo,1934607309,45,0,0,-1
Bartu'shakai,1917486982,51,460,405,-1
Baryn,1862365964,21,18,18,4153667145
Baw,74131,4,5,5,-1
Bawas - Solo,1235152064,50,0,0,-1
Bazamex,1881017308,24,19,19,-1
BeK,1295669729,21,18,18,4153667145
Begekou,33868539,44,100,100,-1
Beilum,125616407,50,0,0,-1
Beine,1706447579,50,185,185,2064723306
Beku Alpha,380667492,20,20,20,-1
Beku Beta,1598300560,20,20,20,-1
Belak,1886805233,39,53,56,669838839
Bell'eu,807157279,55,320,320,-1
Bellas,81250,12,8,8,-1
Belmont,2119056211,51,205,205,-1
Ben Tre - Solo,1477049165,60,0,0,-1
Benes Alpha,513140357,26,18,18,-1
Benes Beta,648840056,26,18,18,-1
Benes Delta,2124972704,27,18,18,-1
Benes Gamma,1075431916,27,18,18,-1
Benif,1225355489,9,8,8,-1
Benijat,1212347831,38,24,24,4138978039
Benn's Field,1349094857,47,125,125,3522167047
Benzar,1285619139,39,53,56,2064723306
Benzi,72093,4,3,3,-1
Ber'Tho Alpha,1893283135,30,20,20,-1
Ber'Tho Beta,1768926542,20,20,20,-1
Ber'thir ⇺,1978242855,50,30,30,-1
Berebul,76342,1,5,5,-1
Bernin,276621500,8,5,5,-1
Bess,108703132,70,1700,1700,-1
Beta Assembly,182699358,25,20,20,-1
Beta Nerra,827797424,46,110,110,3292196998
Beta Niobe,479900503,43,80,80,-1
Beta Paldorios,1543362389,35,33,33,669838839
Beta Penthe,669580953,34,33,33,4153667145
Beta Persei Ab,796970569,66,1295,1295,1306860549
Beta Sector,836491336,50,185,185,-1
Beta Vordunn,725572971,20,15,15,-1
Beta Zetori,243791534,33,32,32,-1
Bettany,1405478861,24,30,30,-1
Beyven,74627,1,5,5,-1
Bharani,2136091294,16,13,13,-1
Biba,2039651498,66,1300,1300,-1
Biciq - Solo,1553690577,50,0,0,-1
Bildari,835707420,44,95,95,669838839
Bilge,129791609,54,285,285,2064723306
Bimasa Alpha,962772796,30,20,20,-1
Bimasa Beta,945638280,30,20,20,-1
Biruin,594602774,27,19,19,669838839
Biscotti,1704295716,55,320,320,2796195869
Bisep - Solo,1680831259,60,0,0,-1
Blascans,1503091701,39,70,70,-1
Blum,1710688522,58,600,600,-1
Blys,1151108682,31,25,25,-1
Bo-Jeems,71907,1,3,3,-1
Bodex,73854,2,5,5,-1
Bohvanderro,79418,4,5,5,-1
Bolari Alpha,1064639043,30,20,20,-1
Bolari Beta,1278297069,30,20,20,-1
Bolarus,792513330,39,54,56,2064723306
Bolkano,476037767,43,115,115,-1
Boneshi,1475546082,35,52,52,-1
Boniv,1847701194,8,5,5,-1
Boorhi,73556,1,5,5,-1
Bor,90203356,38,48,48,-1
Boraka,541098504,39,50,56,669838839
Borias Cluster,492395761,39,40,40,-1
Boru,1614747268,7,5,5,-1
Boscobel - Mirror,1667392268,40,0,0,-1
Bravo,144881445,30,10,10,-1
Brawowe,1805626054,46,120,120,2796195869
Brellan Alpha,1758632971,40,20,20,-1
Brellan Beta,2015624080,40,20,20,-1
Brellan Gamma,840163883,40,20,20,-1
Brestant,18003294,39,40,185,4153667145
Bridford,79370,4,5,5,-1
Brijac Alpha,962542656,30,20,20,-1
Brijac Beta,1070354804,30,20,20,-1
Brikker,145508565,46,170,170,-1
Bronco - Mirror,1278073295,40,0,0,-1
Brookfield,418621477,56,430,430,-1
Brucam,146823495,58,480,700,-1
Bubeau,1791133099,18,13,13,-1
Buchan,1769178483,40,0,0,-1
Bujar - Solo,2099233375,45,0,0,-1
Bulut,83376,9,5,5,-1
Burdow,1755490924,55,200,200,-1
Burke,1779012470,39,52,185,4153667145
Burran Alpha,1593338589,30,20,20,-1
Burran Beta,1187168479,30,20,20,-1
Buyq'eal,1632573171,61,900,230,4153667145
Cada-X,1781274189,28,25,25,-1
Caelor,1500172540,40,60,60,-1
Caelum,669645006,49,170,185,2064723306
Caerulum,1123868099,39,46,46,669838839
Cagooio - Solo,1222069259,45,0,0,-1
Calder,80996,39,31,31,669838839
Caldik,1613927324,16,13,13,-1
Calex,79497,5,5,5,-1
Caliar,452866934,70,1700,1700,-1
Callicoat,1131821012,51,205,205,-1
Callinon,1327228368,43,75,75,1530685377
Calliope,1723716392,50,0,0,-1
Calloway,822627473,50,0,0,-1
Campion - Mirror,200204642,50,0,0,-1
Canavan,1896325051,68,1495,1585,-1
Cannz,1531162992,48,160,160,-1
Cara Alpha,559795005,8,5,5,-1
Cara Beta,748005167,8,5,5,-1
Caralhetes,777671994,66,1300,1300,669838839
Cardassia,795642852,30,25,25,-1
Carinom - Solo,401361680,60,0,0,-1
Carraya,729676773,33,27,27,4153667145
Castor,1919858549,25,25,25,-1
Cecin,79924,1,5,5,-1
Ceguh,1786096059,9,8,8,-1
Celtris,616828220,33,26,26,-1
Cestus,813835668,34,48,48,1306860549
Ceti Alpha,900752205,36,52,52,1306860549
Ch'Kmulk,1891192557,47,135,135,4153667145
Ch'urux Qorva,1246012492,40,49,49,4138978039
Cha'Takla,1811606244,46,120,120,4153667145
Chakavil,1160853623,53,160,160,4138978039
Chalor Prime,1867534935,42,80,80,3522167047
Chaltok,481139067,39,45,45,669838839
Charon - Solo,618740102,60,0,0,-1
Cheron,252455179,39,54,54,669838839
Cheyenne,776529723,40,24,24,-1
Chin'Toka,1634954785,28,25,25,-1
Chispas - Solo,667239107,50,0,0,-1
Chum'a - Elite Solo,438590780,50,0,0,-1
Ciara,893618014,26,18,18,4153667145
Cillers,806920942,25,18,18,669838839
Cirriped,678971830,60,500,500,-1
Cita Laga,81354,15,11,11,-1
Clara,766077716,53,255,255,2064723306
Cliann,1689447916,70,1700,1700,3292196998
Clohma,380276811,46,50,50,1530685377
Clytomenes,1339989224,12,7,7,-1
Collep,81642,10,5,5,-1
Colt,76329,1,5,5,-1
Comst Alpha,240211163,20,20,20,-1
Comst Beta,1066722677,20,20,20,-1
Condor,1568159092,40,0,0,-1
Conodonta - Elite Solo,492018962,60,0,0,-1
Constina,809766889,26,16,16,669838839
Cor Caroli,1842911980,39,45,45,2064723306
Cor'Tun,708659112,66,1300,1300,-1
Corad,744269956,12,25,25,-1
Corialsis,1938220980,60,700,700,-1
Coridan,218039082,16,13,13,-1
Corla,71715,1,3,3,-1
Cornwell,1973818533,40,0,0,-1
Corsen,1959939005,49,185,185,-1
Corta Alpha,945933606,31,22,22,-1
Corta Beta,1950701051,32,22,22,-1
Corta Gamma,1158665545,33,22,22,-1
Cortázar,1149868078,53,255,255,669838839
Corva Alpha,878300669,40,20,20,-1
Corva Beta,1028615737,40,20,20,-1
Corva Gamma,389850125,40,20,20,-1
Corvidae,1916359164,42,75,75,669838839
Corvinus,2019000438,56,355,355,2796195869
Cosa,1505582693,6,5,5,-1
Cospilon,71399,2,2,2,-1
Coth,363397350,7,5,5,-1
Craelav,438275,38,35,35,1530685377
Crawford,1781658939,40,24,24,-1
Cretac,1810069035,65,1250,1250,-1
Crios Alpha,1034482712,30,20,20,-1
Crios Beta,163146741,30,20,20,-1
Croitz,2069327708,40,0,0,-1
Crypsotys,688635160,41,225,225,-1
Cualonor,1685758355,61,900,900,669838839
Curadh,2143499110,66,1300,1300,3292196998
Cymon,75543,2,5,5,-1
Cynderin,1214593821,59,500,500,-1
Cypha,1237695064,52,230,230,4153667145
Cyrenthis Array,882998623,62,900,900,3522167047
D'Deridex,1352509809,38,38,38,669838839
D0D-G,1666924692,28,24,24,2143656960
DIZ,2074152378,2,5,5,-1
Daboia,621254028,46,120,120,-1
Dahkso,751561411,46,190,190,-1
Dairuum,152972772,58,440,440,669838839
Dal Vor,728079169,59,100,100,1530685377
Dalfa,72084,2,3,3,-1
Dall'ei - Solo,25257265,50,0,0,-1
Dalogn,331029704,35,27,27,-1
Dalukerinborva,1385663190,18,13,13,-1
Damoreyn Alpha,937354749,70,1500,1500,-1
Damoreyn Beta,439190916,71,1550,1550,-1
Damoreyn Delta,680127561,72,1600,1600,-1
Damoreyn Gamma,412996303,71,1550,1550,-1
Danan Xoa,1978469666,69,1500,1500,3292196998
Dantak-6,479784012,68,1500,1500,4153667145
Dareb,203797845,36,34,34,-1
Dark U'lin - Solo,1940837699,50,0,0,-1
Darklake,1036332543,63,1100,1100,4153667145
Dart'Nah,351747655,69,1600,1600,4153667145
Dashai,595950979,40,65,65,2064723306
Dauan,76337,1,5,5,-1
Dauouuy,1396202980,22,18,18,669838839
Davidul,2102605227,20,13,13,669838839
Dawise,1868721060,43,75,75,-1
Daz,920529968,60,700,900,-1
Deesha,1148950242,35,28,28,-1
Dejoy - Solo,2061833340,45,0,0,-1
Dekendi,1699978960,14,10,10,-1
Dela,393023826,51,185,30,-1
Delbaana,76297,1,5,5,-1
Delmas,249829100,42,70,70,669838839
Delrich,111172585,50,195,195,1306860549
Delta Sector,574950190,51,205,205,-1
Demavar,1079232378,8,5,5,-1
Demetrium,1123742174,40,70,70,-1
Demm,841180721,52,230,230,3292196998
Dendroa,221367575,49,160,160,-1
Deneb,1247312085,38,47,47,2064723306
Deneva,1135473830,15,11,11,-1
Denobula Triaxa,2098156897,38,53,53,2064723306
Derevio,1019778671,37,110,110,-1
Deschi,913711131,40,0,0,-1
Desmodius,1503770515,70,1650,1650,1306860549
Dessica,1465141102,39,39,39,669838839
Devoras,385262252,39,38,38,669838839
Devrom,1578101094,39,40,40,669838839
Dhi'ban,1745143614,14,11,11,-1
Diabolai,1918546891,35,28,28,-1
Didi,74631,1,5,5,-1
Digali,1757257133,61,900,900,669838839
Dignam,81594,9,5,5,-1
Dijor'joh,2000631744,50,110,110,-1
Dinaal,1445129642,35,26,26,-1
Dioug - Solo,1597556470,60,0,0,-1
Dis,1972399665,28,25,25,-1
Dle’greffo,604074052,18,12,12,-1
Dohrmas,493472365,46,120,120,4153667145
Doiq - Solo,1110829605,50,0,0,-1
Dok'Vos,347602915,41,70,70,4153667145
Doka,1592824999,40,27,27,-1
Dolcan,78967,2,5,5,-1
Doloran,2012746431,30,26,26,2064723306
Doma,71465,1,2,2,-1
Donfo,83351,10,5,5,-1
Doniphon,212445492,29,24,24,2143656960
Donnel,75692,1,5,5,-1
Donscheel,1304670657,33,40,40,-1
Doraboro,83388,9,5,5,-1
Doska,1036671379,27,19,19,2064723306
Dovaler,71089,1,1,1,-1
Dover - Mirror,1411915100,40,0,0,-1
Draken,2095413858,23,17,17,669838839
Drakoria,1169537333,46,120,120,-1
Draomn,539331249,44,100,100,669838839
Draumen,1903711022,50,185,30,2064723306
Dravon Expanse,602919088,58,440,440,3522167047
Draygo IV,1499234486,33,26,26,-1
Dreyman,1946064743,40,0,0,-1
Dudu,82908,9,5,5,-1
Duloeul - Solo,1171796184,50,0,0,-1
Dulwei,1469361316,57,500,500,-1
Dunnehue - Mirror,982059165,50,0,0,-1
Duportas Alpha,1803857747,30,20,20,-1
Duportas Beta,307615643,30,20,20,-1
Durchman,287702734,26,19,19,2064723306
Duriana,1517913779,28,7,7,2113010081
Duvlock,1436783271,8,5,5,-1
Dyrr,79578,9,5,5,-1
Eabha,177371679,55,160,185,-1
Eady,985056315,52,230,230,-1
Eagutim,1675983977,25,19,19,2064723306
Earokij,512746806,37,40,40,-1
Earorfilad,1379808121,24,17,17,2064723306
Eayou,1976031045,38,53,56,-1
Ebisu,776886360,31,26,26,4153667145
Ebriosys,444970546,48,345,345,-1
Eden,2087953937,38,53,53,669838839
Eeli,1690746163,33,27,27,4153667145
Eenusix - Solo,1641334464,45,0,0,-1
Efros,1609418893,46,80,80,-1
Eisenhorn,2052698931,19,13,13,-1
Eizeb,1316840322,16,13,13,-1
Ekimuk,420120576,36,35,35,1530685377
El-Aurian,546901732,38,44,44,-1
Elaisik,372982920,38,39,39,669838839
Elaraeth,786861962,42,70,70,-1
Elderi'Zan,2046507267,64,1200,1200,-1
Eldur Alpha,310376472,30,20,20,-1
Eldur Beta,861558882,30,20,20,-1
Elequa,1694524999,30,26,26,4153667145
Ellijo,83389,9,5,5,-1
Elona,81286,13,11,11,-1
Elor,1267680142,36,34,34,-1
Elt-97,42889120,51,205,205,2796195869
Elva,83362,11,7,7,-1
Elvros,245752118,47,120,120,669838839
Elya,2003099760,27,20,20,-1
Elzbar,1813666945,38,48,48,-1
Embek,512014239,36,38,38,4153667145
Emie,1490400924,30,26,26,4153667145
Emissius,652809999,51,220,220,-1
Emola,1306959898,6,5,5,-1
Endriz,437340701,50,185,185,-1
Endron Beta,845222989,66,1300,1700,2064723306
Endron Delta,1992270250,65,1250,1700,2064723306
Endurance-429,1325731364,64,1200,1200,-1
Enning,1132113350,38,53,56,-1
Enten,1795040494,45,120,120,2064723306
Enthra,1984126753,27,19,19,4153667145
Entrunar,78793,1,5,5,-1
Enzocas,1816723651,42,27,27,-1
Eojur,1173652866,11,7,7,-1
Ephane - Mirror,119698453,40,0,0,-1
Ephemeris,1109035819,44,150,150,-1
Er'Tama,1108935593,45,120,120,-1
Er'Yozun,576710371,24,22,22,-1
Eral,72902,9,5,5,-1
Eranias,1618719368,63,1100,1100,2064723306
Eravan,76223,9,5,5,-1
Erbaxax - Solo,707071326,60,0,0,-1
Erefanium - Solo,1965615272,45,0,0,-1
Erendari,1451697388,50,105,30,-1
Ergantal,1154653215,8,5,5,-1
Eriodna,1904570374,70,1300,1300,669838839
Erlia,1514391158,50,0,0,-1
Eronia,383603040,18,25,25,-1
Ertalwu,1627731292,47,120,120,2064723306
Eryndor Veil,1211240433,63,1000,1000,3522167047
Erzon'Uk,1498922199,46,120,120,4153667145
Eshu,2147089484,6,5,5,-1
Esothea,1601469990,34,27,27,-1
Estar,194551302,37,75,75,-1
Estellion,2048529083,40,70,70,-1
Ester,1278353050,50,185,30,-1
Esteria,1089341585,23,20,20,-1
Esteris,1650369316,61,900,1000,-1
Esto,14444521,43,75,75,669838839
Estrada,71303,4,2,2,-1
Estru Partis,1104737641,57,450,450,3522167047
Etalon,1714335968,32,24,24,-1
Etaoin,186798495,25,18,18,4153667145
Ethjamar,83385,9,5,5,-1
Eureka - Solo,1620639953,50,0,0,-1
Euryodite-731,1638353173,61,900,900,2064723306
Evans,38180137,38,50,185,-1
Evarin,1252637405,51,80,80,1530685377
Eviloy,2072864272,29,25,25,-1
Eviorea,2059529204,59,520,520,-1
Exchange Alpha,876124086,29,24,24,-1
Exchange Beta,1046260664,30,24,24,-1
Exchange Central,1312983846,28,24,24,-1
Exchange Delta,1894738756,34,24,24,-1
Exchange Gamma,632006853,32,24,24,-1
Exron-99,220189399,63,1100,1100,-1
Ezani,959781310,19,15,15,-1
Ezla,549542882,48,160,185,-1
Ezla Alpha,722806600,20,20,20,-1
Ezla Beta,1560703707,20,20,20,-1
FSEP-001,1682580025,60,900,900,-1
FSEP-086,1655234506,40,56,56,-1
FSEP-168,2043656316,37,42,42,-1
FSEP-2204,1521003579,50,110,110,-1
FSEP-247,114273965,52,470,470,-1
FSEP-3819,833606382,41,225,225,-1
FSEP-40840,1627506844,37,42,42,-1
FSEP-505,2021129208,36,30,30,-1
FSEP-8794,234967607,60,250,250,-1
Faden,290939313,44,150,150,-1
Fafniri,584661618,39,50,185,4153667145
Fairsingez,438268550,48,190,190,-1
Falko,74879,2,5,5,-1
Famuauu - Solo,745531826,50,0,0,-1
Faolain,249162366,58,480,700,-1
Farana,1979255644,50,105,30,-1
Faria,1748815154,40,60,60,-1
Farnham,980439160,48,160,185,-1
Faroon,236460793,63,1100,1100,2064723306
Farue M710 - Elite Solo,64757250,50,0,0,-1
Fastolf,1718038036,21,15,15,-1
Fect,213531443,42,80,80,-1
Feer,75694,1,5,5,-1
Feilji,67512582,30,29,29,-1
Fellebia,1991745839,38,48,48,2064723306
Fennit,313641806,36,38,38,3292196998
Feqiiep,1181581639,37,47,47,-1
Ferenginar,1382094620,25,25,25,-1
Ferraria,818257505,39,53,56,669838839
Ferrer,1399559858,33,25,25,-1
Feun-S - Elite Solo,2138453365,50,0,0,-1
Fiadh,1905676971,6,5,5,-1
Fibona,1765841654,39,56,30,2064723306
Finlayson,428045576,40,120,120,-1
Finnes Expanse,936963813,43,100,100,3522167047
Firebrand,1126496293,50,0,0,-1
Fithis,321133037,8,5,5,-1
Fjorn,887335655,65,1250,1700,2064723306
Flibble,81619,9,5,5,-1
Flok,74244,5,5,5,-1
Foaiveb,1413597356,23,18,18,2064723306
Follin,71892,2,3,3,-1
Fontaine,367080002,30,23,23,-1
Forhingre,78651,5,5,5,-1
Forin,2023046687,24,20,20,-1
Forseti,112840706,36,30,30,4153667145
Fostaa,81603,10,5,5,-1
Foxtail,2111700261,50,0,0,-1
Framtid Alpha,2045673977,20,20,20,-1
Framtid Beta,1020112123,20,20,20,-1
Francihk,1735899624,20,13,13,4153667145
Freyda,81397,17,13,13,-1
Friefra,729358569,10,8,8,-1
Frirab,300767668,42,90,90,-1
Frysta Alpha,1236152526,72,1600,1600,-1
Frysta Beta,774620652,73,1700,1700,-1
Frysta Delta,377390834,74,2200,2200,-1
Frysta Gamma,1739108818,73,1700,1700,-1
Fulriit,1929216415,29,22,22,-1
Fygl,1636418521,51,240,240,-1
Fyrsta,1549883102,32,23,23,-1
Fyufi,326597973,6,5,5,-1
G-N8 - Solo,118284117,50,0,0,-1
G-N9 - Solo,460127682,45,0,0,-1
Gaillian - Elite Solo,43483912,50,0,0,-1
Gakora,972447268,25,25,25,-1
Galen,1382968761,50,195,195,1306860549
Galorndon Core,652091106,30,24,24,669838839
Gamma 400,619414000,38,56,70,1306860549
Gamma Sedra,1235882575,50,185,185,2064723306
Gamma Trianguli,1301125511,48,160,195,1306860549
Ganalda,1143199169,39,50,185,4153667145
Ganzin,735531360,48,160,185,-1
Garadius,1913932603,39,56,30,669838839
Gareill,2126419093,60,250,250,-1
Gartem'chk - Elite Solo,2015124198,45,0,0,-1
Garyb,294480699,40,65,65,4153667145
Garyf,2073448913,57,400,400,2064723306
Gawalara,1278994945,58,440,440,-1
Gawen,440206469,33,24,24,-1
Gealan,1117089474,26,19,19,2113010081
Gelida Alpha,42777065,20,20,20,-1
Gelida Beta,1462401943,20,20,20,-1
Gelvin,335238400,19,13,13,-1
Gemaris,685279308,42,85,85,1306860549
Gemet,1710685740,25,18,18,2064723306
Genesis,1911289993,32,42,42,-1
Genflint,1365268226,48,160,185,-1
Geody,1455907233,38,60,60,-1
Gerezdho,82892760,44,125,125,-1
Gilmour,1956355859,48,190,195,-1
Glacii,697752211,45,120,120,-1
Glave Gamma,714787931,52,230,230,3292196998
Glensha,265926604,61,950,950,-1
Glintara,770951423,39,48,56,669838839
Gobbo,81666,9,5,5,-1
Gobuoov,77774158,37,47,47,-1
Godui,1660792724,23,18,18,4153667145
Goesting,925140701,40,65,65,2064723306
Gomes,78022,2,5,5,-1
Gorath,640833988,38,39,39,4153667145
Gorvagh,245121601,30,24,24,-1
Gowok,1218057507,23,18,18,2064723306
Gra,60112512,18,12,12,-1
Gradientes,1927260860,30,24,24,669838839
Grajoel,361420621,42,80,80,3292196998
Gratia-3,672220800,61,900,255,669838839
Grealo,725682925,51,205,205,-1
Grenfil,81219,9,5,5,-1
Grida-7,1961386383,64,1200,1200,669838839
Groombridge 34,1382498675,40,40,40,2064723306
Groshi,71249,2,0,0,-1
Guanyin,143594630,38,53,56,-1
Gunnar,678688606,55,240,240,-1
Gurdy,841664901,6,5,5,-1
Gya'han,2020581424,39,40,40,4153667145
Gya'tuum,2102744026,32,26,26,-1
H'Arha - Elite Solo,1632381977,50,0,0,-1
H'Atoria,1369594429,30,22,22,4153667145
H'Naah,1255274936,64,1200,1200,4153667145
HSP-G,1141745487,40,64,64,-1
Ha'karii - Solo,1269581331,45,0,0,-1
Haakona,1423631328,39,54,56,669838839
Had'met,1776013633,54,80,80,1530685377
Hajamieli,210381261,55,320,320,669838839
Hak'Shanai,231697118,70,1950,1950,4153667145
Halenef - Solo,2135398994,60,0,0,-1
Halenview,1832504929,38,49,49,3292196998
Halkon,71464,1,2,2,-1
Halkor,1661476082,25,25,25,-1
Hann,1820074552,26,18,18,2064723306
Hannlaw,283913701,44,90,90,-1
Har-52,803280270,67,1400,900,-1
Hardenbergia - Elite Solo,1181798024,60,0,0,-1
Harrizon,1843916254,44,105,110,-1
Hasak,1192666211,34,25,25,-1
Hauge,833409321,54,285,285,669838839
Hazari,1370336933,38,40,40,-1
Hedef - Solo,165396511,50,0,0,-1
Hedex,317701757,47,0,0,-1
Hegh'Qun,1038802525,69,1550,1550,4153667145
Hegh'Vur,2139638460,32,26,26,-1
Heima,71466,1,2,2,-1
Heloderma,237040784,43,75,75,-1
